15.0,0.0,1.0,5.0,1.0,12230.0,13415.0,17223.416666666664
14.0,1.0,2.0,5.0,1.0,11534.0,12990.0,17255.374999999996
13.0,0.0,3.0,5.0,1.0,11038.0,12832.0,17287.083333333332
12.0,-1.0,4.0,5.0,1.0,10777.0,12866.0,17318.166666666668
11.0,-2.0,5.0,5.0,1.0,10764.0,13233.0,17348.583333333336
11.0,-4.0,6.0,5.0,1.0,11032.0,14495.0,17376.208333333332
10.0,-5.0,7.0,5.0,1.0,11508.0,16855.0,17402.999999999996
9.0,-4.0,8.0,5.0,1.0,11806.0,18233.0,17431.791666666664
9.0,-5.0,9.0,5.0,1.0,12457.0,18421.0,17457.666666666668
10.0,-6.0,10.0,5.0,1.0,13214.0,18417.0,17484.958333333336
12.0,-6.0,11.0,5.0,1.0,13783.0,18532.0,17507.083333333336
14.0,-5.0,12.0,5.0,1.0,14156.0,18503.0,17525.041666666668
16.0,-4.0,13.0,5.0,1.0,14182.0,18356.0,17539.125
17.0,-4.0,14.0,5.0,1.0,13988.0,18302.0,17549.166666666664
18.0,-3.0,15.0,5.0,1.0,13727.0,18205.0,17556.499999999996
17.0,-3.0,16.0,5.0,1.0,13856.0,18326.0,17561.54166666666
17.0,-2.0,17.0,5.0,1.0,15215.0,19397.0,17569.45833333333
14.0,-2.0,18.0,5.0,1.0,16593.0,20786.0,17577.999999999996
13.0,-2.0,19.0,5.0,1.0,16483.0,20668.0,17590.91666666666
12.0,-2.0,20.0,5.0,1.0,16135.0,20206.0,17601.416666666664
11.0,-2.0,21.0,5.0,1.0,15681.0,19522.0,17613.0
10.0,-2.0,22.0,5.0,1.0,14872.0,18295.0,17625.791666666664
9.0,-1.0,23.0,5.0,1.0,13769.0,16598.0,17646.458333333332
9.0,-1.0,24.0,5.0,1.0,12640.0,15138.0,17664.25
8.0,-3.0,1.0,6.0,1.0,11728.0,14186.0,17681.166666666668
6.0,-5.0,2.0,6.0,1.0,11275.0,13757.0,17699.583333333336
6.0,-6.0,3.0,6.0,1.0,11083.0,13593.0,17719.208333333332
5.0,-8.0,4.0,6.0,1.0,11071.0,13612.0,17739.041666666664
3.0,-8.0,5.0,6.0,1.0,11304.0,13963.0,17760.916666666668
2.0,-9.0,6.0,6.0,1.0,12053.0,15158.0,17781.875
1.0,-10.0,7.0,6.0,1.0,13372.0,17498.0,17807.083333333336
0.0,-11.0,8.0,6.0,1.0,14656.0,18924.0,17835.916666666664
0.0,-13.0,9.0,6.0,1.0,15658.0,19042.0,17870.45833333333
