N00,action,AIR[$r1],6.720585724015697,3.6018694815103913
N01,action,AIR[$r2],6.175133793107988,4.046912482127791
N02,action,AIR[$r3],6.727634821068265,3.5945998922262588
N03,action,AIR[$r4],6.726893031431452,3.597904547868198
N04,action,AIR[$r5],6.1711633909827786,4.045842471429046
N05,action,AIR[$r6],6.728831264653554,3.599106561087473
N06,states,TEMP[$r1],19.251031102162262,4.221021480675651
N07,states,TEMP[$r2],19.78276569764112,4.511275911744173
N08,states,TEMP[$r3],19.257555299242284,4.2251333398557085
N09,states,TEMP[$r4],19.260640465094042,4.227062845950976
N010,states,TEMP[$r5],19.781734140149503,4.5105587775454214
N011,states,TEMP[$r6],19.260665259236173,4.227214525039312
N012,states,AIR_VOLUME[$r1],6.520423470337624,3.6578983491838226
N013,states,AIR_VOLUME[$r2],6.113158001530748,3.9758623930189922
N014,states,AIR_VOLUME[$r3],6.527775723260546,3.649755791136824
N015,states,AIR_VOLUME[$r4],6.530859643294858,3.653011277465996
N016,states,AIR_VOLUME[$r5],6.116537032813762,3.9704693356179774
N017,states,AIR_VOLUME[$r6],6.5317889427374,3.652967876934893
